FIPS,State,Division,Life Expectancy,Life Expectancy (AIAN),Life Expectancy (Asian),Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),Population,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,% Female,Median Household Income,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High
1001,Alabama,Autauga,76.879477172,,,75.044708359,,76.98586956,55601,10755,19.343177281,267,0.4802071905,681,1.2247981151,62,0.1115087858,1649,2.9657739969,41316,74.308016043,51.448714951,59338.0,,,,,,,27643.0,24435.510638,30850.489362,83423.0,35471.510638,131374.48936,65047.0,60195.255319,69898.744681
1003,Alabama,Baldwin,78.450258368,,85.658204409,75.728780034,91.830606961,78.366768821,218022,19151,8.783975929,1684,0.7723991157,2508,1.150342626,146,0.0669657191,10131,4.6467787654,181201,83.111337388,51.538376861,57588.0,53289.0,43751.12766,62826.87234,34763.0,16946.659574,52579.340426,31112.0,25212.93617,37011.06383,43279.0,27472.702128,59085.297872,59418.0,57950.085106,60885.914894
1005,Alabama,Barbour,75.34193493,,,73.65737549,,76.930717216,24881,11951,48.032635344,164,0.6591374945,113,0.4541618102,46,0.1848800289,1064,4.276355452,11356,45.641252361,47.216751738,34382.0,,,,50417.0,3635.5531915,97198.446809,23013.0,20429.851064,25596.148936,30417.0,18564.06383,42269.93617,47031.0,42036.276596,52025.723404
1007,Alabama,Bibb,73.571820279,,,72.887469469,,73.273065938,22400,4731,21.120535714,98,0.4375,53,0.2366071429,26,0.1160714286,588,2.625,16708,74.589285714,46.78125,46064.0,,,,,,,34000.0,11508.255319,56491.744681,42708.0,12014.042553,73401.957447,50769.0,45702.787234,55835.212766
1009,Alabama,Blount,74.145825897,,,,,,57840,846,1.4626556017,378,0.653526971,185,0.3198478562,70,0.1210235131,5536,9.571230982,50255,86.886237898,50.726141079,50412.0,65385.0,46.106382979,130723.89362,99219.0,31243.340426,167194.65957,,,,35495.0,26246.659574,44743.340426,49872.0,47029.106383,52714.893617
1011,Alabama,Bullock,73.530894789,,,71.632464625,,77.07520786,10138,7050,69.540343263,85,0.8384296705,19,0.1874136911,76,0.7496547643,807,7.960149931,2151,21.217202604,45.482343658,29267.0,,,,,,,21875.0,12974.574468,30775.425532,,,,63636.0,49317.87234,77954.12766
1013,Alabama,Butler,72.918309203,,,71.450268334,,73.950029961,19680,8769,44.557926829,74,0.3760162602,259,1.3160569106,10,0.0508130081,297,1.5091463415,10087,51.255081301,53.429878049,37365.0,,,,96618.0,38374.425532,154861.57447,26260.0,23295.574468,29224.425532,8558.0,196.12765957,16919.87234,49094.0,43670.340426,54517.659574
1015,Alabama,Calhoun,73.039108585,,,73.133935195,107.30393379,72.591977274,114277,23827,20.850214829,617,0.5399161686,1102,0.9643235297,126,0.1102584072,4469,3.9106731888,82308,72.024991906,51.946585927,45400.0,51333.0,21215.723404,81450.276596,38750.0,23208.212766,54291.787234,28478.0,24093.319149,32862.680851,36766.0,26002.085106,47529.914894,51481.0,48885.93617,54076.06383
1017,Alabama,Chambers,74.291076031,,,75.980967123,,73.170160454,33615,13300,39.565670088,103,0.3064108285,446,1.326788636,15,0.0446229362,861,2.5613565373,18566,55.231295553,52.125539194,39917.0,,,,71563.0,35244.021277,107881.97872,31185.0,27807.12766,34562.87234,,,,48000.0,44650.723404,51349.276596
1019,Alabama,Cherokee,73.998833761,,,,,,26032,1104,4.2409342348,172,0.6607252612,88,0.3380454825,8,0.0307314075,422,1.6210817455,23860,91.656422864,50.460971112,42132.0,,,,,,,35096.0,17124.765957,53067.234043,20995.0,8763.1702128,33226.829787,41483.0,38659.170213,44306.829787
