FIPS,State,Division,Life Expectancy,Life Expectancy (AIAN),Life Expectancy (Asian),Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),Population,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,% Female,Median Household Income,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High
1001,Alabama,Autauga,76.585649727,,,73.932611326,94.103987461,76.990869943,56145,11408,20.318817348,266,0.4737732657,657,1.1701843441,61,0.1086472526,1741,3.1008994568,41079,73.165909698,51.507703268,67565.0,,,,98953.0,43852.574468,154053.42553,30718.0,22774.340426,38661.659574,81185.0,76976.659574,85393.340426,65130.0,59239.276596,71020.723404
1003,Alabama,Baldwin,77.724729177,104.61793156,82.540024333,73.786584457,86.639922399,77.797174531,229287,19441,8.4788932648,1788,0.7798087114,2529,1.1029844692,152,0.0662924632,10625,4.6339304016,191015,83.308255592,51.58905651,71135.0,,,,,,,39500.0,32791.914894,46208.085106,54063.0,40335.851064,67790.148936,66695.0,64365.638298,69024.361702
1005,Alabama,Barbour,72.867210115,,,70.588292213,,75.124789778,24589,11756,47.80999634,172,0.6994997763,112,0.4554882264,50,0.2033429582,1149,4.6728211802,11130,45.264142503,47.183700028,38866.0,,,,53750.0,21784.723404,85715.276596,22835.0,20660.531915,25009.468085,30350.0,7516.2978723,53183.702128,51017.0,43607.12766,58426.87234
1007,Alabama,Bibb,73.609363092,,,72.29863961,,73.546826645,22136,4644,20.979400072,102,0.4607878569,57,0.2574990965,27,0.1219732562,649,2.9318756776,16420,74.177809902,46.815142754,50907.0,,,,,,,14591.0,6958.3191489,22223.680851,63438.0,10969.574468,115906.42553,54895.0,46458.06383,63331.93617
1009,Alabama,Blount,74.1714626,,,,98.162859545,73.605309562,57879,884,1.5273242454,364,0.6288982187,220,0.380103319,70,0.1209419651,5524,9.5440487914,50238,86.798320634,50.557196911,55203.0,,,,125272.0,94779.404255,155764.59574,42656.0,22853.446809,62458.553191,40783.0,25753.553191,55812.446809,49580.0,46718.042553,52441.957447
1011,Alabama,Bullock,73.81468226,,,71.559544108,,78.993154041,9976,6852,68.684843625,88,0.882117081,27,0.2706495589,76,0.7618283881,885,8.8712910986,2104,21.090617482,45.25862069,33124.0,,,,,,,26579.0,17140.021277,36017.978723,,,,76389.0,55006.531915,97771.468085
1013,Alabama,Butler,73.473279047,,,71.918644093,,74.087512121,19504,8699,44.601107465,77,0.3947908121,266,1.3638228056,8,0.0410172272,323,1.6560705496,9943,50.9792863,53.424938474,42268.0,48556.0,47987.659574,49124.340426,,,,31250.0,23730.510638,38769.489362,,,,56493.0,48909.170213,64076.829787
1015,Alabama,Calhoun,72.825007074,,,72.755896585,90.513131362,72.524672193,113469,24049,21.194335017,598,0.5270161894,1002,0.8830605716,127,0.1119248429,4668,4.1138989504,81012,71.395711604,51.910213362,50259.0,54115.0,26261.553191,81968.446809,,,,37707.0,31120.446809,44293.553191,49563.0,26798.404255,72327.595745,53622.0,50295.361702,56948.638298
1017,Alabama,Chambers,73.761104989,,,74.330336441,,73.596696175,32865,13131,39.95435874,115,0.3499163244,377,1.1471169938,19,0.0578122623,915,2.7841168416,18005,54.784725392,52.335311121,39318.0,,,,,,,34995.0,28957.723404,41032.276596,70159.0,3414.1489362,136903.85106,49953.0,45028.574468,54877.425532
1019,Alabama,Cherokee,74.014400904,,,,,,26294,1081,4.111204077,186,0.7073857154,124,0.4715904769,8,0.0304251921,482,1.8331178216,24046,91.450521031,50.437362136,50388.0,,,,,,,,,,34183.0,19675.425532,48690.574468,43567.0,38454.319149,48679.680851
1021,Alabama,Chilton,74.391084705,,,73.382982276,,74.147465311,44397,4405,9.9218415659,255,0.5743631326,213,0.4797621461,77,0.173435142,3524,7.9374732527,35584,80.149559655,51.041737054,52693.0,78253.0,20004.659574,136501.34043,,,,33000.0,18530.553191,47469.446809,50395.0,25216.446809,75573.553191,54112.0,50675.744681,57548.255319
1023,Alabama,Choctaw,74.214010199,,,71.411506265,,76.188397841,12418,5122,41.246577549,24,0.193267837,30,0.2415847963,0,0.0,147,1.1837655017,6999,56.361732968,52.681591239,41649.0,,,,,,,29093.0,24379.468085,33806.531915,,,,43571.0,32239.93617,54902.06383
1025,Alabama,Clarke,71.737339284,,,68.902309593,,73.676264196,23291,10463,44.922931604,133,0.5710360225,102,0.4379374007,5,0.0214675196,315,1.3524537375,12068,51.81400541,52.711347731,44178.0,,,,185727.0,72290.06383,299163.93617,27115.0,21375.595745,32854.404255,44583.0,14718.319149,74447.680851,50436.0,45997.702128,54874.297872
1027,Alabama,Clay,72.89639799,,,70.051183734,,72.903199843,13112,1776,13.544844417,73,0.5567419158,39,0.2974374619,0,0.0,411,3.134533252,10565,80.57504576,51.288895668,44763.0,,,,,,,29281.0,14607.808511,43954.191489,30197.0,7438.3617021,52955.638298,44234.0,40202.0,48266.0
1029,Alabama,Cleburne,74.346662647,,,,,,14967,422,2.8195363132,78,0.5211465223,29,0.1937596045,11,0.0734950224,416,2.7794481192,13836,92.443375426,50.865236854,50134.0,,,,,,,,,,,,,,,
1031,Alabama,Coffee,75.268544718,,,72.268107554,87.406273001,75.074416448,53230,9058,17.016719895,747,1.403343979,892,1.6757467593,220,0.4133007702,4423,8.3092241217,36768,69.073830547,50.69509675,54203.0,44231.0,247.17021277,88214.829787,105853.0,66230.021277,145475.97872,37602.0,32129.489362,43074.510638,39979.0,9995.1702128,69962.829787,62729.0,59696.659574,65761.340426
1033,Alabama,Colbert,73.875034169,,,71.216734218,86.187593448,74.132560598,55411,8872,16.011261302,381,0.6875891069,383,0.6911984985,37,0.0667737453,1763,3.1816787281,42977,77.560412193,52.106982368,54185.0,83500.0,57610.12766,109389.87234,65481.0,11508.914894,119453.08511,30687.0,28257.553191,33116.446809,31319.0,15229.12766,47408.87234,53250.0,49854.255319,56645.744681
1035,Alabama,Conecuh,71.194267398,,,68.795061672,,73.383650738,11851,5384,45.430765336,61,0.5147244958,32,0.2700194076,4,0.033752426,293,2.4723652012,5935,50.080162012,52.172812421,34664.0,,,,,,,33152.0,30450.893617,35853.106383,,,,40368.0,30768.170213,49967.829787
1037,Alabama,Coosa,73.925127489,,,73.071329363,,75.171556551,10650,3201,30.056338028,73,0.6854460094,21,0.1971830986,18,0.1690140845,270,2.5352112676,6982,65.558685446,49.924882629,46509.0,,,,,,,34270.0,28256.553191,40283.446809,,,,47971.0,42829.723404,53112.276596
1039,Alabama,Covington,72.917641871,,,68.77920537,,73.300779496,36930,4620,12.510154346,277,0.7500676956,188,0.5090712158,4,0.0108313025,707,1.9144327105,30607,82.87841863,51.716761441,43544.0,30219.0,22231.255319,38206.744681,,,,24655.0,17061.638298,32248.361702,41600.0,26792.170213,56407.829787,47319.0,43091.595745,51546.404255
1041,Alabama,Crenshaw,72.58910799,,,73.208529969,,71.961055001,13681,3246,23.726335794,93,0.6797748703,163,1.1914333748,6,0.0438564432,330,2.4121043783,9586,70.067977487,51.428989109,45927.0,,,,,,,23698.0,20894.425532,26501.574468,,,,48923.0,43150.234043,54695.765957
1043,Alabama,Cullman,73.914253636,,,,97.7196318,73.735708151,84515,1069,1.2648642253,556,0.6578713838,560,0.6626042714,72,0.0851919778,3835,4.5376560374,77490,91.687866059,50.554339466,51844.0,44368.0,34864.680851,53871.319149,,,,49306.0,20914.0,77698.0,50909.0,32131.12766,69686.87234,48135.0,44724.957447,51545.042553
1045,Alabama,Dale,74.908845911,,,73.39761082,88.629111039,74.528955151,48959,9995,20.415041157,430,0.8782859127,706,1.4420229171,88,0.1797422333,3396,6.936416185,33271,67.956861864,51.020241426,48493.0,43409.0,17750.276596,69067.723404,,,,30653.0,25039.893617,36266.106383,52903.0,20415.851064,85390.148936,50365.0,46635.638298,54094.361702
