FIPS,State,Division,Life Expectancy,Life Expectancy (AIAN),Life Expectancy (Asian),Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),Population,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,% Female,Median Household Income,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High
1000,Alabama,,75.416194148,,,,,,4887871,1295175,26.497732858,34375,0.7032714243,73167,1.4969093906,5207,0.106528998,217181,4.4432637441,3197324,65.413428464,51.63303205,49881.0,,,,,,,,,,,,,,,
2000,Alaska,,78.772150803,,,,,,737438,24861,3.3712664658,113516,15.39329408,49025,6.6480165112,10221,1.3860148243,53288,7.2260990076,444411,60.264184921,47.850124349,74912.0,,,,,,,,,,,,,,,
4000,Arizona,,79.896499078,,,,,,7171646,313875,4.3766103346,380160,5.3008751408,263696,3.6769243769,19789,0.2759338651,2266343,31.601434315,3902867,54.420798238,50.285624806,59079.0,,,,,,,,,,,,,,,
5000,Arkansas,,75.930611736,,,,,,3013825,464640,15.416953539,30225,1.002878402,50301,1.6690086518,10881,0.3610362247,233187,7.7372441996,2176611,72.220882102,50.888223437,47094.0,,,,,,,,,,,,,,,
6000,California,,81.575806348,,,,,,39557045,2223274,5.6204248826,651076,1.6459166755,6063600,15.328748646,199872,0.5052753561,15540142,39.285396571,14568608,36.829363771,50.290581614,75250.0,,,,,,,,,,,,,,,
8000,Colorado,,80.500280401,,,,,,5695564,229085,4.0221653202,91120,1.5998415609,197634,3.4699636419,10933,0.1919564068,1235117,21.685596018,3868329,67.918278155,49.647339579,71949.0,,,,,,,,,,,,,,,
9000,Connecticut,,80.869448681,,,,,,3572665,364858,10.212488437,19943,0.5582107474,173799,4.8646878451,3840,0.1074827895,589809,16.508936606,2376351,66.514800576,51.201833925,76366.0,,,,,,,,,,,,,,,
10000,Delaware,,78.428654964,,,,,,967171,211504,21.86831491,6458,0.6677205996,39584,4.0927612594,1049,0.1084606548,91974,9.5095903413,599061,61.939512248,51.619000156,65467.0,,,,,,,,,,,,,,,
11000,District of Columbia,,78.5919757,,,,,,702455,315337,44.890704743,4296,0.6115694244,31025,4.416653024,975,0.1387989266,79249,11.281719114,260268,37.051199009,52.551124271,82533.0,,,,,,,,,,,,,,,
12000,Florida,,80.037784402,,,,,,21299325,3309386,15.53751586,106984,0.5022882181,631737,2.9659954013,24353,0.1143369567,5562417,26.115461405,11399170,53.518926069,51.116868727,55433.0,,,,,,,,,,,,,,,
13000,Georgia,,77.769077725,,,,,,10519475,3313815,31.501714677,54882,0.5217180515,453488,4.3109375706,12432,0.1181808027,1026737,9.7603445039,5511319,52.391578477,51.371945843,58634.0,,,,,,,,,,,,,,,
15000,Hawaii,,82.290382814,,,,,,1420491,27934,1.9665031317,5629,0.3962714301,534651,37.638464446,144806,10.194080779,151357,10.655259343,309043,21.756068852,49.946743767,80527.0,,,,,,,,,,,,,,,
16000,Idaho,,79.323318473,,,,,,1754208,13050,0.7439254638,30449,1.7357690764,27819,1.585843868,3883,0.2213534541,222908,12.707045003,1433895,81.740306737,49.887527591,55524.0,,,,,,,,,,,,,,,
17000,Illinois,,79.254156688,,,,,,12741080,1791197,14.058439316,75567,0.5930972885,748722,5.8764406157,8445,0.0662816653,2214142,17.377977377,7773275,61.009545502,50.860515749,65063.0,,,,,,,,,,,,,,,
18000,Indiana,,77.044711755,,,,,,6691878,635087,9.4904150972,27740,0.414532363,165368,2.4711747584,4542,0.0678733235,475237,7.1016985068,5276640,78.851407632,50.681975971,55725.0,,,,,,,,,,,,,,,
19000,Iowa,,79.411135521,,,,,,3156145,119189,3.7764107796,16681,0.5285245133,85708,2.7155913306,4232,0.1340876291,194432,6.1604267231,2691471,85.277165656,50.230201718,60071.0,,,,,,,,,,,,,,,
20000,Kansas,,78.519515918,,,,,,2911505,167341,5.7475772839,34817,1.195842013,91229,3.1333966454,3619,0.1242999754,351180,12.061803088,2202954,75.663754656,50.18363355,58150.0,,,,,,,,,,,,,,,
21000,Kentucky,,75.43027337,,,,,,4468402,365332,8.1758982294,13412,0.3001520454,72806,1.6293520592,4058,0.0908154638,171933,3.8477513885,3766333,84.288141488,50.731581447,50189.0,,,,,,,,,,,,,,,
22000,Louisiana,,76.066575982,,,,,,4659978,1503104,32.255602923,36500,0.7832655004,84271,1.8083990954,2889,0.0619960008,243811,5.2320204087,2729264,58.568173498,51.185198728,48021.0,,,,,,,,,,,,,,,
23000,Maine,,78.683706024,,,,,,1338404,20708,1.5472159378,9657,0.7215310175,16674,1.2458121763,455,0.0339957143,22850,1.7072573005,1246689,93.147435304,51.033245567,55579.0,,,,,,,,,,,,,,,
24000,Maryland,,79.14402633,,,,,,6042718,1801327,29.809880256,36188,0.5988695815,405682,6.7135682982,6746,0.1116385044,628433,10.39983994,3050812,50.487413114,51.52974208,83076.0,,,,,,,,,,,,,,,
25000,Massachusetts,,80.514335871,,,,,,6902149,500276,7.2481193901,34112,0.4942228862,492508,7.1355747319,7417,0.1074592855,847223,12.274771234,4928183,71.400704331,51.456741951,79817.0,,,,,,,,,,,,,,,
26000,Michigan,,78.044164353,,,,,,9995915,1375622,13.761841712,73499,0.7352903661,337336,3.3747385807,4142,0.041436927,519022,5.1923410713,7485441,74.885000523,50.758454829,56640.0,,,,,,,,,,,,,,,
27000,Minnesota,,80.936203006,,,,,,5611179,367582,6.5508870774,76616,1.3654171432,288975,5.1499871952,4145,0.0738703934,309283,5.5119075688,4459268,79.471141448,50.192267971,70295.0,,,,,,,,,,,,,,,
28000,Mississippi,,74.894145671,,,,,,2986530,1118103,37.438197507,18423,0.6168697452,32152,1.0765671197,1812,0.0606724192,100168,3.3539927608,1686128,56.457762018,51.524511724,44740.0,,,,,,,,,,,,,,,
29000,Missouri,,77.287540906,,,,,,6126452,710969,11.60490607,35019,0.5716032705,131046,2.139019452,9585,0.156452707,263265,4.2971853856,4858302,79.300417273,50.908568287,54412.0,,,,,,,,,,,,,,,
30000,Montana,,78.832630198,,,,,,1062305,5612,0.5282851912,70603,6.6462080099,9852,0.9274172672,893,0.0840624868,42503,4.0010166572,912905,85.936242416,49.65174785,55248.0,,,,,,,,,,,,,,,
31000,Nebraska,,79.609321626,,,,,,1929268,92902,4.8154014891,28663,1.4856930193,52343,2.7131015494,2338,0.1211858591,215872,11.189321546,1515603,78.558448075,50.064895079,59724.0,,,,,,,,,,,,,,,
32000,Nevada,,78.512814608,,,,,,3034392,276929,9.1263422788,50871,1.6764808238,264411,8.7138049402,23962,0.7896804368,881148,29.038700339,1476377,48.654788175,49.85634684,58740.0,,,,,,,,,,,,,,,
33000,New Hampshire,,79.519766445,,,,,,1356458,19146,1.4114701672,4090,0.3015205779,40460,2.982768357,637,0.0469605399,52663,3.8823907559,1220322,89.963861764,50.439600784,75322.0,,,,,,,,,,,,,,,
34000,New Jersey,,80.433182305,,,,,,8908520,1150141,12.910573249,54706,0.6140862904,889251,9.9820284402,9984,0.1120724879,1839359,20.647189432,4892895,54.923769605,51.145712195,81777.0,,,,,,,,,,,,,,,
35000,New Mexico,,78.066654569,,,,,,2095428,38590,1.841628536,228493,10.904359396,37256,1.7779661243,3404,0.1624489126,1029233,49.118032211,777525,37.105784594,50.497702617,47405.0,,,,,,,,,,,,,,,
