population,percentage,life expectancy,income,group
267,0.4802071905,,,AIAN
681,1.2247981151,,,Asian
10755,19.343177281,75.044708359,27643.0,Black
1649,2.9657739969,,83423.0,Hispanic
41316,74.308016043,76.98586956,65047.0,White
1684,0.7723991157,,53289.0,AIAN
2508,1.150342626,85.658204409,34763.0,Asian
19151,8.783975929,75.728780034,31112.0,Black
10131,4.6467787654,91.830606961,43279.0,Hispanic
181201,83.111337388,78.366768821,59418.0,White
164,0.6591374945,,,AIAN
113,0.4541618102,,50417.0,Asian
11951,48.032635344,73.65737549,23013.0,Black
1064,4.276355452,,30417.0,Hispanic
11356,45.641252361,76.930717216,47031.0,White
98,0.4375,,,AIAN
53,0.2366071429,,,Asian
4731,21.120535714,72.887469469,34000.0,Black
588,2.625,,42708.0,Hispanic
16708,74.589285714,73.273065938,50769.0,White
378,0.653526971,,65385.0,AIAN
185,0.3198478562,,99219.0,Asian
846,1.4626556017,,,Black
5536,9.571230982,,35495.0,Hispanic
50255,86.886237898,,49872.0,White
85,0.8384296705,,,AIAN
19,0.1874136911,,,Asian
7050,69.540343263,71.632464625,21875.0,Black
807,7.960149931,,,Hispanic
2151,21.217202604,77.07520786,63636.0,White
74,0.3760162602,,,AIAN
259,1.3160569106,,96618.0,Asian
8769,44.557926829,71.450268334,26260.0,Black
297,1.5091463415,,8558.0,Hispanic
10087,51.255081301,73.950029961,49094.0,White
617,0.5399161686,,51333.0,AIAN
1102,0.9643235297,,38750.0,Asian
23827,20.850214829,73.133935195,28478.0,Black
4469,3.9106731888,107.30393379,36766.0,Hispanic
82308,72.024991906,72.591977274,51481.0,White
103,0.3064108285,,,AIAN
446,1.326788636,,71563.0,Asian
13300,39.565670088,75.980967123,31185.0,Black
861,2.5613565373,,,Hispanic
18566,55.231295553,73.170160454,48000.0,White
172,0.6607252612,,,AIAN
88,0.3380454825,,,Asian
1104,4.2409342348,,35096.0,Black
422,1.6210817455,,20995.0,Hispanic
23860,91.656422864,,41483.0,White
250,0.5662129414,,,AIAN
215,0.4869431296,,64489.0,Asian
4401,9.9676126198,74.645780892,30828.0,Black
3500,7.9269811791,,36355.0,Hispanic
35384,80.139514869,74.469167467,47778.0,White
24,0.1869013317,,,AIAN
23,0.1791137762,,,Asian
5331,41.515458298,73.25076976,26250.0,Black
134,1.0435324352,,,Hispanic
7241,56.389689277,74.510496938,50106.0,White
126,0.5267558528,,,AIAN
104,0.4347826087,,181281.0,Asian
10603,44.326923077,72.156413171,22948.0,Black
326,1.3628762542,,,Hispanic
12560,52.508361204,76.913655779,48177.0,White
72,0.5423728814,,13182.0,AIAN
32,0.2410546139,,,Asian
1836,13.830508475,72.717985716,29955.0,Black
400,3.0131826742,,30324.0,Hispanic
10690,80.527306968,75.305610168,45000.0,White
74,0.4937612598,,,AIAN
33,0.2201908321,,,Asian
430,2.8691532662,,18693.0,Black
372,2.4821511977,,17614.0,Hispanic
13907,92.793754587,,41973.0,White
732,1.4101600878,,33688.0,AIAN
849,1.6355545281,,48509.0,Asian
8922,17.187770907,74.76849349,37154.0,Black
3935,7.5805736963,88.263806557,62763.0,Hispanic
36261,69.85493845,76.554122166,58598.0,White
363,0.6628684124,,80792.0,AIAN
323,0.5898250612,,103036.0,Asian
8761,15.998320003,74.083627755,30676.0,Black
1465,2.6752127388,,31790.0,Hispanic
42932,78.397428874,74.541935121,51330.0,White
63,0.5131546795,,13672.0,AIAN
26,0.2117781217,,,Asian
5606,45.662621162,74.643614391,29031.0,Black
264,2.1503624664,,,Hispanic
6176,50.305449214,75.769741444,36542.0,White
64,0.5972935138,,,AIAN
15,0.1399906673,,,Asian
3265,30.471301913,75.475529106,29795.0,Black
270,2.5198320112,,,Hispanic
7006,65.384974335,72.541860283,45639.0,White
256,0.6921537879,,,AIAN
172,0.4650408263,,33250.0,Asian
4602,12.442545828,72.104702308,20903.0,Black
647,1.7493105499,,29688.0,Hispanic
30768,83.188233386,74.065955835,45148.0,White
87,0.6293402778,,,AIAN
155,1.1212384259,,63021.0,Asian
3210,23.220486111,76.339739958,25313.0,Black
320,2.3148148148,,58839.0,Hispanic
9808,70.949074074,73.976981986,45254.0,White
539,0.6459576712,,,AIAN
561,0.6723232904,,,Asian
1006,1.2056278613,,38819.0,Black
3699,4.4330193428,99.411734739,40561.0,Hispanic
76646,91.855420532,74.293379922,43054.0,White
392,0.800719013,,52404.0,AIAN
695,1.4196421276,,67727.0,Asian
10012,20.45101724,71.5961698,29792.0,Black
3250,6.6386142659,90.388734167,43849.0,Hispanic
33470,68.367513686,75.248496414,52019.0,White
111,0.2897415818,,,AIAN
223,0.5820934482,,170568.0,Asian
26839,70.057426259,70.303846105,24396.0,Black
426,1.111981206,,80409.0,Hispanic
10413,27.180892717,73.617842103,53185.0,White
1449,2.0298382013,,48264.0,AIAN
368,0.5155144638,,68096.0,Asian
1034,1.448483575,,35101.0,Black
10595,14.842053653,99.939756821,26456.0,Hispanic
57199,80.127477761,73.580697926,40935.0,White
425,0.5190079011,,60972.0,AIAN
581,0.7095143307,,78438.0,Asian
17372,21.214600608,72.677994629,40899.0,Black
2467,3.0126882167,,45700.0,Hispanic
59771,72.99205002,76.386125957,64693.0,White
1423,3.872319582,,32075.0,AIAN
112,0.3047784913,,,Asian
11540,31.403069555,72.29176243,22506.0,Black
907,2.4681615326,,,Hispanic
22106,60.15565473,72.944480474,42240.0,White
624,0.6087745485,,25625.0,AIAN
852,0.8312114028,,,Asian
15871,15.483751378,71.398399474,29107.0,Black
4116,4.0155705798,92.856440269,27276.0,Hispanic
