State,group,population,life expectancy,income
Alabama,AIAN,3885,91.997141702,48077.0
Alabama,Asian,56426,87.75084174122162,67112.73008896608
Alabama,Black,1280230,73.60077351761973,33276.516518125645
Alabama,Hispanic,171583,98.4037819753445,39862.65585168693
Alabama,White,3022568,75.93026182101708,57909.578784662575
Alaska,AIAN,71231,69.81578691340023,53335.02261655739
Alaska,Asian,39982,84.72320615919998,68342.51017958082
Alaska,Black,21966,78.35519083574484,57954.15774378585
Alaska,Hispanic,45507,84.67470446826553,66581.76106972554
Alaska,White,408137,80.2144816564155,85314.36611235932
Arizona,AIAN,376891,72.55087070792602,35880.5260221125
Arizona,Asian,261194,87.55788877087326,75377.33619072413
Arizona,Black,311194,76.93201689027771,46022.95015006716
Arizona,Hispanic,2266343,81.82636419349312,46133.07668124375
Arizona,White,3902867,80.12046896655521,63232.05952111615
Arkansas,AIAN,11903,93.37520901805738,42674.40821641603
Arkansas,Asian,35945,86.13541637067254,70327.49998608985
Arkansas,Black,454110,73.14874460228033,31410.778390698295
Arkansas,Hispanic,169054,90.04884491191085,42132.13647118672
Arkansas,White,1635508,76.25656258616034,54010.24756100245
California,AIAN,595945,79.72923271657713,55318.606059284
California,Asian,6054831,87.57899609204756,93913.60631254614
California,Black,2214812,76.12456757301865,49882.215212848765
California,Hispanic,15533538,83.86756824099984,55760.67126471767
California,White,14539051,80.38854416057738,85270.3677798503
Colorado,AIAN,65274,76.63370872927611,52019.476759506084
Colorado,Asian,188357,86.98299533356759,74418.92900715132
Colorado,Black,213169,77.74221555221017,50097.15351669333
Colorado,Hispanic,1207299,81.1159784979372,52195.4967982248
Colorado,White,3678439,80.58444439704196,77542.34471932251
Connecticut,AIAN,8188,93.16312764183377,39783.169272105515
Connecticut,Asian,172058,93.41543427393155,97141.83171953644
Connecticut,Black,364858,78.9035554196213,47847.56748104742
Connecticut,Hispanic,589809,85.08080471262676,46243.66070880573
Connecticut,White,2376351,80.70993906619582,88942.13978532632
Delaware,Asian,39584,90.68714221711072,94816.86833063864
Delaware,Black,211504,76.11093022115159,49079.4153727589
Delaware,Hispanic,91974,86.329764687208,53468.64064844413
Delaware,White,599061,78.31861481816058,72325.52259118855
District of Columbia,AIAN,4296,98.469740839,42788.0
District of Columbia,Asian,31025,89.479456693,103898.0
District of Columbia,Black,315337,72.630531685,43564.0
District of Columbia,Hispanic,79249,87.823374775,75004.0
District of Columbia,White,260268,87.532521234,135263.0
Florida,AIAN,67070,96.87075251198033,47930.636260623236
Florida,Asian,619953,90.49702078026232,69297.35017654563
Florida,Black,3301335,77.6645199922943,39992.48759123203
Florida,Hispanic,5539813,84.4684606817622,46891.30515217752
Florida,White,11331151,78.86461462927004,59993.901447699354
Georgia,AIAN,10826,93.51057749776426,44841.7751708849
Georgia,Asian,401791,88.48957203379092,80824.96863294598
Georgia,Black,3294109,76.14099144787178,44371.70813837672
Georgia,Hispanic,928868,90.42136624623764,48529.525545072065
Georgia,White,5189377,78.00761481110078,68982.36086547576
Hawaii,AIAN,3210,91.042561883,50294.0
Hawaii,Asian,534644,83.14035723036817,83264.20648319255
Hawaii,Black,27508,85.72169741108775,70142.95168678203
Hawaii,Hispanic,151356,77.84225086887233,66411.40048627078
Hawaii,White,309020,81.4255276002808,79457.2633065821
Idaho,AIAN,18918,78.39323122725811,42679.26281847975
Idaho,Asian,17148,86.47331400589971,63179.04268719384
Idaho,Black,7104,78.3634476290017,40034.166807432426
Idaho,Hispanic,200391,83.80405106437368,44850.19743900674
Idaho,White,1185869,79.07093153919895,56756.133555224056
Illinois,AIAN,38253,101.04049297,45357.0
Illinois,Asian,723153,89.29585422833021,87576.03858381284
Illinois,Black,1761612,73.60027804586949,38069.46239296736
Illinois,Hispanic,2178906,86.37344293180296,54189.5398484377
Illinois,White,6847287,79.7610461407513,76274.56657797459
Indiana,AIAN,4327,99.612371182,47039.0
Indiana,Asian,141569,89.71656713879506,61813.79905205235
Indiana,Black,614033,73.19811711254272,33617.74346981352
Indiana,Hispanic,417345,87.51625630096285,46556.76552013322
Indiana,White,3827586,77.40334172526956,61057.02730337084
Iowa,AIAN,2915,64.098596107,31652.0
Iowa,Asian,64218,87.93246399792964,58097.270702918184
Iowa,Black,97890,74.725844268287,33182.78967208091
Iowa,Hispanic,124095,87.66874963608295,46856.74578347234
Iowa,White,1545295,79.66353702219479,64219.284062913546
Kansas,AIAN,14938,70.90461820820076,49874.8218637033
Kansas,Asian,75724,86.94862971154484,70244.8876710158
Kansas,Black,151161,73.85594317896752,37456.38243991506
Kansas,Hispanic,310160,83.60962670968406,46430.391900954346
Kansas,White,1576283,79.23612236712087,67594.10472294633
Kentucky,Asian,53464,86.11395272720569,62495.331531497824
Kentucky,Black,327707,74.04799131957738,34863.740719606234
Kentucky,Hispanic,116615,90.43284154486375,42725.79542940445
Kentucky,White,2147201,76.66976304233262,59706.066718486065
Louisiana,AIAN,14661,81.39582900506684,48463.17543141668
Louisiana,Asian,68526,89.39305806693916,65094.69732656218
Louisiana,Black,1501251,73.34284850176691,30650.145490660787
Louisiana,Hispanic,209228,88.79671005464621,45504.5351721567
Louisiana,White,2715148,76.98367910814106,60246.35653194595
Maine,AIAN,3629,72.50715587615377,25129.67043262607
Maine,Asian,11195,88.61632836938999,59479.33872264404
Maine,Black,16623,81.21265169789557,34638.99416471154
Maine,Hispanic,16056,95.07391046337077,51059.23922521176
Maine,White,841755,78.80403886236411,60908.15641487131
Maryland,AIAN,24837,93.7447991074372,63482.38257438498
Maryland,Asian,400080,90.01595501948836,104495.38896220757
Maryland,Black,1801032,76.80062630190878,67881.63697258016
Maryland,Hispanic,620616,90.61492487463286,70657.94583284993
Maryland,White,3022717,79.20907147448266,94921.61113329498
Massachusetts,AIAN,13514,85.16923304553478,42675.449089832764
Massachusetts,Asian,490851,90.61460222941373,91492.22293323229
Massachusetts,Black,497561,80.75691825456502,49791.52127075876
Massachusetts,Hispanic,844835,86.48054096978444,43845.181942036026
Massachusetts,White,4904914,80.20535321573445,86536.78670594428
Michigan,AIAN,33218,76.44009960480635,46069.04494551147
Michigan,Asian,315641,91.48198052832046,81461.08408286629
Michigan,Black,1344990,73.40394882165467,34517.07049569141
Michigan,Hispanic,494588,81.87604633403873,47272.69569217208
Michigan,White,6588702,78.83601081370405,62871.84355689482
Minnesota,AIAN,52831,67.36070474985202,36204.84270598702
Minnesota,Asian,268715,85.07107123898359,76656.28737882143
Minnesota,Black,336393,78.77861072386271,37232.726100126936
Minnesota,Hispanic,247082,88.85603807921738,50987.029844343175
Minnesota,White,3400428,81.45774172541944,78085.94592210159
Mississippi,AIAN,5007,58.359880484,39643.0
Mississippi,Asian,16623,83.37254765915479,69205.2257715214
Mississippi,Black,1100010,73.25847850004979,30872.148500468178
Mississippi,Hispanic,29738,101.39771257365317,46440.48126975587
Mississippi,White,1664557,75.79121023283686,55957.74031408958
Missouri,AIAN,10836,93.55226780914352,42668.83065706903
Missouri,Asian,109016,88.98346638789666,72666.30253357306
Missouri,Black,681500,72.37119007578615,36905.75594424064
Missouri,Hispanic,219979,88.51914597605048,48352.777492397
Missouri,White,3613574,78.1928748012422,62670.367338264
Montana,AIAN,57659,66.87998381623288,33070.58571948872
Montana,Asian,4076,93.22401517419921,67040.85623159961
Montana,Black,2282,68.42352448084313,42982.24452234882
Montana,Hispanic,26683,82.33451928100966,39251.60836487651
Montana,White,623129,79.7401027281534,56858.76850700256
Nebraska,AIAN,11209,70.49460485729922,42634.86118297796
Nebraska,Asian,44017,86.42706812285219,57994.461344480536
